,Company,Contact,Country,Price,Item
59,Urban Upmarket,27164931095,Maldives,64518₽,opinion
60,Crisp Creations,13776623452,Guinea,14665₽,family
61,Refined Rags,49805922428,Japan,93365₽,pie
62,Brow Boosters,21639206713,Monaco,37352₽,passenger
63,Glamour Galore,50540099367,United Arab Emirates,39246₽,emphasis
64,Chic Couture,81578376254,Dominica,70443₽,perception
65,Stellar Stitches,37178845938,"Congo, Republic of the",18163₽,midnight
66,Dapper Designs,2188754717,Colombia,94936₽,wood
67,Posh Patterns,15604708165,Nicaragua,76577₽,selection
68,Elite Elegance,1137531576,Spain,34368₽,sample
69,Urban Upmarket,43398290625,Colombia,88508₽,map
70,Chic Couture,26702813390,Denmark,93054₽,wood
71,Stellar Stitches,67677624722,Colombia,35797₽,cookie
72,Modern Maven,7877431946,Laos,87748₽,tea
73,Skin Studio,84355541009,China,45631₽,assumption
74,Refined Rags,2108059565,Uganda,36101₽,contribution
75,Beauty Bar,50908880000,Sao Tome and Principe,92822₽,distribution
76,Nail Nook,30462601854,Panama,64604₽,description
77,Lash Lounge,2714016011,Kiribati,37136₽,user
78,Smart Styles,97714922358,Romania,91950₽,language
79,Trendy Threads,43401486660,Spain,39698₽,administration
80,Dapper Designs,86468878906,Saint Lucia,73943₽,drama
81,Fine Fabrics,94836524456,Central African Republic,92214₽,library
82,Nail Nook,54580171421,Suriname,87852₽,pie
83,Dapper Designs,60723625685,South Sudan,85752₽,distribution
84,Stellar Stitches,38487643338,Bulgaria,51962₽,distribution
85,Smart Styles,40355495073,Fiji,69845₽,secretary
86,Trendy Threads,8916305325,Colombia,79463₽,language
87,Fashion Fusion,80751025157,Algeria,43893₽,family
88,Urban Upmarket,45629538029,United Kingdom,45506₽,passenger
89,Modish Mannequins,72879536195,Romania,73984₽,payment
90,Classy Chic,48882903358,Samoa,24630₽,mode
91,Fashion Forward,30223831918,Sweden,56147₽,midnight
92,Chic Couture,83844488974,Romania,79084₽,signature
93,Fine Fabrics,11663238394,Liechtenstein,20808₽,tennis
94,Trendsetting Tailors,16727322695,Moldova,91180₽,office
95,Sleek Styles,34200422322,Saint Kitts and Nevis,56807₽,wood
96,Trendsetting Tailors,87221423727,Cuba,99878₽,pie
97,Modern Maven,8555426093,Japan,84273₽,concept
